bw,ts,deltar,aurora_error,bbr_error
0.1,1,178.90839157820852,0.0,5.02429586778808e-16
0.1,1.5,178.90839157820852,0.0,5.02429586778808e-16
0.1,2,178.90839157820852,0.0,5.02429586778808e-16
0.1,4,178.90839157820852,0.0,5.02429586778808e-16
0.1,8,178.90839157820852,0.0,5.02429586778808e-16
0.1,10,178.90839157820852,0.0,5.02429586778808e-16
0.1,12,178.90839157820852,0.0,5.02429586778808e-16
0.1,15,178.90839157820852,0.0,5.02429586778808e-16
0.1,17,178.90839157820852,0.0,5.02429586778808e-16
0.1,20,178.90839157820852,0.0,5.02429586778808e-16
0.1,22,178.90839157820852,0.0,5.02429586778808e-16
0.1,24,178.90839157820852,0.0,5.02429586778808e-16
0.1,30,178.90839157820852,0.0,5.02429586778808e-16
1,0.1,-3.150013746714805,2.71295485213531,2.054487056603452
1,0.2,-5.4804349998556745,3.3254994414511945,2.4946128701775083
1,0.4,-1.2858187331687319,4.496199829231153,3.3982269838384993
1,0.8,7.791948574909448,5.828295227724415,4.636108349879973
1,1,27.5014954758022,6.288338183538294,5.777178199568598
1,1.5,41.70480503103003,7.3624277747692215,6.48143289109923
1,2,56.86892705511585,9.09124918616487,7.490404236854125
1,4,78.50985591114653,6.3311475241808415,4.690930302708197
1,8,110.73052587588077,2.7381895557972027,5.855824113667899
1,10,122.85388358999143,1.6911214857177645,7.788668407298402
1,12,120.1702227013721,1.7581551563248732,7.580791329428871
1,15,148.23269071368128,2.075651353486644,12.01587081158238
1,17,145.89749195622773,2.300019221859668,12.648611386964957
1,20,153.3974690271781,2.168119949593377,13.254527277194843
1,22,145.61990761431932,3.3607662607233095,13.06872576759439
1,24,167.7052778468855,3.7402076532241177,13.849010165621296
1,30,267.55770774515867,3.933649386987217,27.663574304816468
2,0.1,-13.264927356543524,2.330222177766261,2.3382767433792373
2,0.2,-16.477820685595383,3.278745667089975,2.790230147727808
2,0.4,-6.711035995940158,4.790243654600546,3.9559501483698396
2,0.8,-0.8574527275618422,5.4066687744428235,5.142290726454386
2,1,7.551162259609399,7.34642409286486,5.5645205116539564
2,1.5,6.0464629943813435,8.966605902841719,6.69350814792655
2,2,20.375054490132968,9.995415456648326,9.099281085323668
2,4,29.482400571284387,10.78698764522433,8.12292424944705
2,8,59.21311161690346,3.0006580586444827,5.179149220421349
2,10,58.38093836612646,1.6487360325163332,5.448540329253859
2,12,71.41869938771467,2.444395250860344,6.170921748231375
2,15,87.63734554767979,2.3849248030779817,8.223783663868483
2,17,80.79251164853835,2.305049544863319,9.858106514155109
2,20,83.83043283476925,2.878422603249864,10.223978396245943
2,22,72.9295204936841,3.3737962461356954,10.986222070493481
2,24,110.47653904811565,5.225872798959492,12.811655897102991
2,30,225.00617306154206,3.462830641047332,27.803177861156627
4,0.1,1.8070164621410783,2.651794167855158,2.762191049921214
4,0.2,-0.09983926276547095,3.9283879366331855,2.9807822520276526
4,0.4,-4.043192239821401,5.0610064485992865,4.40210278679916
4,0.8,-11.313341855806247,6.689108705197123,5.786943055635689
4,1,-8.850933530044362,7.439947908913377,6.381169755645916
4,1.5,-9.458306678070848,9.584398702726395,7.158281171882571
4,2,-5.417673685841351,10.969063394431156,9.415191435725571
4,4,2.843857488128407,11.705679044876382,8.919050025570373
4,8,11.216800815243175,5.198193950802825,4.684348930734337
4,10,11.729695207765246,2.6919345213305337,4.150618521097577
4,12,17.544761595775952,2.99194946573238,5.275208940509472
4,15,33.52559690036114,2.81782495207243,7.5662604365478385
4,17,27.19174972123261,2.5573695398654226,7.884076573129245
4,20,31.94352328301622,3.919764876324488,8.555277661727137
4,22,26.89724503972232,4.959824732492222,8.90603937520097
4,24,68.74268359019277,8.101512254973105,13.904652850125434
4,30,188.16983281703585,3.492279574413202,28.03050117976218
7,0.1,15.208099390724271,2.557645514611338,2.8181976750421036
7,0.2,10.446083895140767,4.4581224490658435,2.768496435886658
7,0.4,-1.6511715978330788,4.929300775617531,4.912933621378239
7,0.8,-12.147703827122724,7.112745417596728,5.591785929169992
7,1,-12.1081848998825,7.001791134642253,6.418500104293474
7,1.5,-8.429368787025673,9.278136007803663,8.11935055967539
7,2,-11.627235969544131,12.196176705790398,9.563642570317981
7,4,-0.059649665072868174,11.78437362422871,11.243196536648854
7,8,0.3027512552453402,6.7194861386568485,6.059421636127152
7,10,-3.3833631557931767,4.320691217703426,3.634548240035006
7,12,3.349407260092505,3.3804195699641846,4.786587574954054
7,15,11.700242060110696,2.761909665046396,6.406665390179313
7,17,4.440595276858687,3.519665042085272,6.900069017326701
7,20,10.983158001883226,5.427179658266215,8.113407065193451
bw,ts,deltar,aurora_error,bbr_error
7,22,7.291082173695401,7.7033754466294155,8.709235331978839
7,24,61.57531019946974,11.281347857991793,18.68853251314185
7,30,166.98852784532107,3.1518213525556558,27.27100014665781
9,0.1,21.330503419418065,2.8411408355870034,3.0886110934862585
30,12,-9.988806347447621,5.76575106832813,6.478950967141239
9,0.2,17.470968800612518,3.846528073968465,3.175977612903451
9,0.4,0.12615779879011724,5.2318016329695,4.533574924296902
30,17,-8.723921994230295,5.642404240785101,7.972792512539308
9,0.8,-5.214532501432249,6.5352836876685325,5.772477752138499
9,1,-11.752467703509957,7.9336189198233775,7.006795486987452
30,20,6.852388483235671,9.007240589244562,13.229436610273789
9,1.5,-16.95256956725047,9.56567089395008,7.824450619366374
9,2,-18.15553407962247,11.805530341870302,9.801602650722824
30,22,1.1185125308350052,12.51328284145132,15.479432934154296
9,4,-12.434951331284594,13.7330797429283,10.170267806239899
30,24,50.787733451013686,19.127793238023614,29.442788067225965
9,8,-5.851823480569465,8.211620860298327,7.4262677117207465
9,10,-11.87199016515919,5.265140719784708,4.383628078052952
9,12,-4.2910098927684714,3.5460633717517216,5.800377455381441
40,12,-5.345459963840824,5.472199499340321,6.410960837015888
9,15,-1.1239826927100864,3.2436108422687666,6.276007758294827
9,17,-2.17855918986578,3.2905925034247785,6.150059986286602
9,20,10.109389053563007,5.232453432308278,8.351670308771654
9,22,6.790064453683158,8.544488468472302,9.495481464570151
40,17,-7.202121849874828,6.6108036859815655,8.564358488325267
9,24,49.861648784582,13.901147858609962,20.25304408419421
9,30,156.13888342978268,3.3861290966433772,26.901215565337107
10,0.1,24.749672887691492,2.6320252259133956,2.7348309249181746
40,20,6.367085268494662,9.048856453721928,14.835284901056868
10,0.2,26.270149236349187,3.6036529301786033,3.316875647886839
10,0.4,4.1906923932416245,5.4825114467967575,4.506541824794023
40,22,9.831883817456287,13.79195635845225,17.75894716995687
10,0.8,-10.015052110047609,6.656700317714369,5.67459097858454
40,24,53.028931300002796,19.30327479381226,31.166083246009382
10,1,-13.668937844529475,7.091821849639755,6.583213536793013
10,1.5,-15.335402100160081,9.433312721796595,7.8933675236924525
10,2,-17.49136072172108,11.868938472365318,9.848560031047432
10,4,-9.984318516528901,12.771673471696989,10.879066250315297
50,12,-8.709394577598005,6.369072992195095,7.126788350903207
10,8,-4.342124474861805,7.858986330655667,7.165768407827424
10,10,-7.809933850033303,5.1703173345147535,4.487843163329129
10,12,-5.493604317258615,3.715378696824412,5.0401867474348725
50,17,-4.942097940203894,6.731291870223562,9.17226568969842
10,15,1.9186310595858629,3.3107638207699366,5.803439627251172
10,17,-0.723067982112866,3.5274588743154256,5.948792432296751
10,20,5.838200611920172,5.7419416429109456,8.806945069284126
50,20,11.07481339906434,10.149380656282306,15.337244261993721
10,22,-5.747621594826171,8.806177114388854,9.125729539867613
